Date,Gross Return,Net Return
3/1/2019,0.00%,-0.01%
3/2/2019,0.00%,0.00%
3/3/2019,0.10%,0.06%
3/4/2019,-0.10%,-0.12%
3/5/2019,-0.20%,-0.25%
3/6/2019,0.80%,0.69%
3/7/2019,0.30%,0.21%
3/8/2019,0.10%,0.11%
3/9/2019,-0.50%,-0.39%
3/10/2019,0.70%,0.56%
3/11/2019,0.00%,-0.04%
3/12/2019,-0.50%,-0.41%
3/13/2019,0.40%,0.33%
3/14/2019,-0.20%,-0.20%
3/15/2019,0.10%,0.05%
3/16/2019,0.50%,0.41%
3/17/2019,0.80%,0.65%
3/18/2019,0.00%,-0.01%
3/19/2019,-0.20%,-0.16%
3/20/2019,0.00%,0.03%
3/21/2019,0.20%,0.16%
3/22/2019,-0.60%,-0.48%
3/23/2019,0.30%,0.20%
3/24/2019,0.20%,0.13%
3/25/2019,-0.10%,-0.09%
3/26/2019,-0.20%,-0.16%
3/27/2019,0.10%,0.06%
3/28/2019,0.70%,0.53%
3/29/2019,0.00%,-0.02%
3/30/2019,1.50%,1.20%
3/31/2019,0.00%,0.00%
4/1/2019,-1.00%,-0.81%
4/2/2019,0.40%,0.34%
4/3/2019,8.30%,6.71%
4/4/2019,-0.80%,-0.69%
4/5/2019,-0.40%,-0.30%
4/6/2019,0.40%,0.29%
4/7/2019,-0.10%,-0.08%
4/8/2019,2.80%,2.27%
4/9/2019,-0.10%,-0.10%
4/10/2019,-0.80%,-0.66%
4/11/2019,0.00%,-0.03%
4/12/2019,-0.80%,-0.63%
4/13/2019,0.10%,0.09%
4/14/2019,0.00%,0.02%
4/15/2019,0.60%,0.49%
4/16/2019,-0.20%,-0.16%
4/17/2019,0.30%,0.26%
4/18/2019,-0.20%,-0.16%
4/19/2019,0.70%,0.59%
4/20/2019,0.30%,0.26%
4/21/2019,0.10%,0.10%
4/22/2019,-0.50%,-0.38%
4/23/2019,0.10%,0.10%
4/24/2019,0.60%,0.48%
4/25/2019,-0.70%,-0.57%
4/26/2019,-2.40%,-1.95%
4/27/2019,0.30%,0.26%
4/28/2019,0.00%,0.02%
4/29/2019,0.00%,-0.03%
4/30/2019,-0.20%,-0.20%
5/1/2019,0.40%,0.33%
5/2/2019,0.00%,0.00%
5/3/2019,0.00%,-0.02%
5/4/2019,1.40%,1.15%
5/5/2019,-0.70%,-0.59%
5/6/2019,0.00%,-0.03%
5/7/2019,-0.10%,-0.05%
5/8/2019,-0.40%,-0.35%
5/9/2019,0.80%,0.66%
5/10/2019,0.60%,0.48%
5/11/2019,1.10%,0.91%
5/12/2019,6.60%,5.40%
5/13/2019,-3.10%,-2.56%
5/14/2019,3.20%,2.63%
5/15/2019,3.20%,2.64%
5/16/2019,4.00%,3.37%
5/17/2019,-1.00%,-0.84%
5/18/2019,-4.70%,-3.96%
5/19/2019,-0.40%,-0.35%
5/20/2019,1.90%,1.60%
5/21/2019,0.30%,0.26%
5/22/2019,-0.20%,-0.14%
5/23/2019,-2.00%,-1.64%
5/24/2019,0.30%,0.23%
5/25/2019,0.50%,0.42%
5/26/2019,0.40%,0.31%
5/27/2019,2.80%,2.36%
5/28/2019,0.10%,0.12%
5/29/2019,-0.50%,-0.46%
5/30/2019,-0.20%,-0.18%
5/31/2019,0.50%,0.37%
6/1/2019,1.80%,1.54%
6/2/2019,0.20%,0.20%
6/3/2019,0.10%,0.09%
6/4/2019,-3.40%,-2.84%
6/5/2019,0.30%,0.25%
6/6/2019,0.10%,0.07%
6/7/2019,0.00%,0.03%
6/8/2019,0.70%,0.62%
6/9/2019,-0.60%,-0.47%
6/10/2019,-0.90%,-0.79%
6/11/2019,0.80%,0.67%
6/12/2019,-0.10%,-0.12%
6/13/2019,1.10%,0.88%
6/14/2019,-0.70%,-0.57%
6/15/2019,0.70%,0.62%
6/16/2019,0.60%,0.48%
6/17/2019,1.10%,0.90%
6/18/2019,0.70%,0.57%
6/19/2019,-1.30%,-1.13%
6/20/2019,0.50%,0.44%
6/21/2019,1.10%,0.88%
6/22/2019,3.20%,2.71%
6/23/2019,3.20%,2.69%
6/24/2019,-1.60%,-1.35%
6/25/2019,2.20%,1.83%
6/26/2019,2.60%,2.18%
6/27/2019,5.60%,4.79%
6/28/2019,-5.90%,-5.07%
6/29/2019,0.50%,0.38%
6/30/2019,-1.10%,-0.90%
7/1/2019,-0.10%,-0.10%
7/2/2019,0.70%,0.55%
7/3/2019,2.50%,2.13%
7/4/2019,-2.60%,-2.25%
7/5/2019,-0.40%,-0.36%
7/6/2019,-1.10%,-0.90%
7/7/2019,0.30%,0.29%
7/8/2019,2.70%,2.26%
7/9/2019,1.50%,1.24%
7/10/2019,-3.00%,-2.61%
7/11/2019,-0.20%,-0.20%
7/12/2019,0.30%,0.25%
7/13/2019,-0.20%,-0.16%
7/14/2019,-0.40%,-0.36%
7/15/2019,0.70%,0.61%
7/16/2019,-1.00%,-0.89%
7/17/2019,0.00%,0.01%
7/18/2019,0.30%,0.24%
7/19/2019,-0.20%,-0.14%
7/20/2019,0.70%,0.61%
7/21/2019,-0.60%,-0.52%
7/22/2019,-0.50%,-0.39%
7/23/2019,-0.90%,-0.77%
7/24/2019,0.40%,0.34%
7/25/2019,-0.80%,-0.71%
7/26/2019,0.40%,0.35%
7/27/2019,-1.50%,-1.24%
7/28/2019,0.00%,0.03%
7/29/2019,-0.10%,-0.06%
7/30/2019,0.30%,0.26%
7/31/2019,1.20%,0.97%
8/1/2019,0.20%,0.20%
8/2/2019,-0.30%,-0.25%
8/3/2019,1.20%,1.02%
8/4/2019,0.50%,0.45%
8/5/2019,2.50%,2.09%
8/6/2019,-1.70%,-1.42%
8/7/2019,1.40%,1.23%
8/8/2019,-0.20%,-0.18%
8/9/2019,-0.10%,-0.12%
8/10/2019,-1.80%,-1.56%
8/11/2019,0.90%,0.75%
8/12/2019,-0.90%,-0.75%
8/13/2019,-1.20%,-1.02%
8/14/2019,-1.00%,-0.84%
8/15/2019,0.40%,0.32%
8/16/2019,0.10%,0.04%
8/17/2019,-0.40%,-0.35%
8/18/2019,0.10%,0.11%
8/19/2019,2.20%,1.84%
8/20/2019,-1.00%,-0.83%
8/21/2019,-1.90%,-1.62%
8/22/2019,-0.50%,-0.44%
8/23/2019,1.10%,0.92%
8/24/2019,-1.50%,-1.27%
8/25/2019,-0.30%,-0.27%
8/26/2019,-0.70%,-0.58%
8/27/2019,-0.40%,-0.33%
8/28/2019,-0.70%,-0.57%
8/29/2019,-0.70%,-0.59%
8/30/2019,0.10%,0.04%
8/31/2019,-0.10%,-0.11%
9/1/2019,-0.20%,-0.14%
9/2/2019,1.60%,1.32%
9/3/2019,0.00%,0.00%
9/4/2019,-0.50%,-0.46%
9/5/2019,0.10%,0.08%
9/6/2019,-1.10%,-0.89%
9/7/2019,0.20%,0.18%
9/8/2019,-0.20%,-0.21%
9/9/2019,-0.20%,-0.21%
9/10/2019,-0.10%,-0.09%
9/11/2019,-0.40%,-0.31%
9/12/2019,0.30%,0.25%
9/13/2019,-0.10%,-0.12%
9/14/2019,0.60%,0.51%
9/15/2019,0.00%,0.00%
9/16/2019,0.20%,0.14%
9/17/2019,1.20%,0.99%
9/18/2019,-0.10%,-0.08%
9/19/2019,0.00%,-0.05%
9/20/2019,-0.40%,-0.38%
9/21/2019,-0.40%,-0.35%
9/22/2019,-0.30%,-0.30%
9/23/2019,-0.70%,-0.58%
9/24/2019,-1.00%,-0.84%
9/25/2019,0.20%,0.15%
9/26/2019,-0.10%,-0.11%
9/27/2019,0.30%,0.23%
9/28/2019,0.00%,-0.04%
9/29/2019,-0.60%,-0.49%
9/30/2019,-0.40%,-0.31%
10/1/2019,0.20%,0.19%
10/2/2019,0.00%,-0.03%
10/3/2019,-0.60%,-0.55%
10/4/2019,-0.20%,-0.16%
10/5/2019,0.00%,-0.02%
10/6/2019,-1.00%,-0.83%
10/7/2019,1.30%,1.06%
10/8/2019,0.00%,-0.03%
10/9/2019,2.50%,2.07%
10/10/2019,-0.50%,-0.46%
10/11/2019,-1.80%,-1.52%
10/12/2019,0.00%,-0.03%
10/13/2019,-0.10%,-0.10%
10/14/2019,1.10%,0.88%
10/15/2019,-1.00%,-0.87%
10/16/2019,-1.00%,-0.85%
10/17/2019,0.40%,0.33%
10/18/2019,-1.00%,-0.82%
10/19/2019,-0.10%,-0.07%
10/20/2019,0.10%,0.11%
10/21/2019,-0.10%,-0.05%
10/22/2019,-0.90%,-0.72%
10/23/2019,-0.70%,-0.56%
10/24/2019,0.10%,0.07%
10/25/2019,2.70%,2.27%
10/26/2019,1.80%,1.53%
10/27/2019,1.40%,1.14%
10/28/2019,-1.60%,-1.31%
10/29/2019,1.10%,0.91%
10/30/2019,-1.30%,-1.14%
10/31/2019,0.00%,-0.02%
11/1/2019,0.50%,0.42%
11/2/2019,0.30%,0.21%
11/3/2019,-0.60%,-0.54%
11/4/2019,0.70%,0.57%
11/5/2019,0.00%,0.01%
11/6/2019,0.40%,0.31%
11/7/2019,-1.30%,-1.06%
11/8/2019,-1.70%,-1.40%
11/9/2019,0.10%,0.08%
11/10/2019,-0.10%,-0.07%
11/11/2019,-1.20%,-1.02%
11/12/2019,0.00%,-0.04%
11/13/2019,0.00%,-0.04%
11/14/2019,-0.30%,-0.25%
11/15/2019,-0.10%,-0.08%
11/16/2019,0.20%,0.16%
11/17/2019,0.10%,0.04%
11/18/2019,-0.30%,-0.29%
11/19/2019,-0.10%,-0.06%
11/20/2019,0.00%,-0.02%
11/21/2019,0.00%,0.00%
11/22/2019,-0.50%,-0.44%
11/23/2019,0.50%,0.40%
11/24/2019,-2.00%,-1.65%
11/25/2019,-0.70%,-0.61%
11/26/2019,0.20%,0.20%
11/27/2019,0.40%,0.34%
11/28/2019,-0.30%,-0.26%
11/29/2019,0.00%,0.00%
11/30/2019,-2.20%,-1.83%
12/1/2019,-0.20%,-0.17%
12/2/2019,-0.30%,-0.27%
12/3/2019,0.00%,-0.02%
12/4/2019,-0.90%,-0.74%
12/5/2019,1.10%,0.92%
12/6/2019,0.60%,0.46%
12/7/2019,0.10%,0.04%
12/8/2019,0.10%,0.04%
12/9/2019,-0.90%,-0.79%
12/10/2019,-0.60%,-0.51%
12/11/2019,-0.20%,-0.15%
12/12/2019,0.10%,0.06%
12/13/2019,0.00%,0.01%
12/14/2019,-0.40%,-0.33%
12/15/2019,0.10%,0.06%
12/16/2019,-0.70%,-0.62%
12/17/2019,-1.00%,-0.85%
12/18/2019,1.80%,1.44%
12/19/2019,-0.10%,-0.12%
12/20/2019,0.20%,0.18%
12/21/2019,-0.20%,-0.19%
12/22/2019,2.60%,2.16%
12/23/2019,-1.30%,-1.05%
12/24/2019,-0.30%,-0.24%
12/25/2019,-0.40%,-0.32%
12/26/2019,-0.30%,-0.28%
12/27/2019,0.60%,0.47%
12/28/2019,0.30%,0.27%
12/29/2019,1.20%,0.97%
12/30/2019,-1.30%,-1.12%
12/31/2019,-0.60%,-0.53%
1/1/2020,0.20%,0.15%
1/2/2020,-0.60%,-0.57%
1/3/2020,1.00%,0.91%
1/4/2020,0.20%,0.14%
1/5/2020,-0.40%,-0.30%
1/6/2020,3.90%,3.08%
1/7/2020,3.70%,2.98%
1/8/2020,-0.80%,-0.68%
1/9/2020,-1.90%,-1.56%
1/10/2020,2.90%,2.35%
1/11/2020,-1.20%,-0.99%
1/12/2020,1.50%,1.23%
1/13/2020,-0.50%,-0.40%
1/14/2020,6.90%,5.60%
1/15/2020,-0.20%,-0.18%
1/16/2020,-0.80%,-0.65%
1/17/2020,2.00%,1.65%
1/18/2020,0.10%,0.10%
1/19/2020,-2.20%,-1.78%
1/20/2020,-0.20%,-0.14%
1/21/2020,0.20%,0.18%
1/22/2020,-0.10%,-0.12%
1/23/2020,-0.70%,-0.61%
1/24/2020,0.10%,0.04%
1/25/2020,-0.20%,-0.18%
1/26/2020,0.70%,0.56%
1/27/2020,0.70%,0.58%
1/28/2020,3.00%,2.44%
1/29/2020,-0.40%,-0.31%
1/30/2020,1.80%,1.48%
1/31/2020,-1.40%,-1.20%
2/1/2020,0.40%,0.35%
2/2/2020,-0.30%,-0.25%
2/3/2020,-0.40%,-0.31%
2/4/2020,-0.90%,-0.73%
2/5/2020,2.70%,2.18%
2/6/2020,1.00%,0.86%
2/7/2020,0.60%,0.51%
2/8/2020,0.60%,0.45%
2/9/2020,2.00%,1.69%
2/10/2020,-2.10%,-1.75%
2/11/2020,0.80%,0.69%
2/12/2020,0.60%,0.51%
2/13/2020,-0.90%,-0.73%
2/14/2020,0.60%,0.50%
2/15/2020,-1.60%,-1.33%
2/16/2020,-0.30%,-0.23%
2/17/2020,-0.40%,-0.30%
2/18/2020,1.00%,0.86%
2/19/2020,-1.60%,-1.31%
2/20/2020,-0.20%,-0.15%
2/21/2020,0.30%,0.26%
2/22/2020,-0.10%,-0.06%
2/23/2020,0.90%,0.71%
2/24/2020,-0.80%,-0.70%
2/25/2020,-1.20%,-0.96%
2/26/2020,-1.70%,-1.43%
2/27/2020,0.10%,0.07%
2/28/2020,-0.30%,-0.24%
2/29/2020,-0.20%,-0.14%
3/1/2020,-0.10%,-0.08%
3/2/2020,1.00%,0.81%
3/3/2020,-0.30%,-0.23%
3/4/2020,0.00%,-0.03%
3/5/2020,0.80%,0.68%
3/6/2020,0.60%,0.52%
3/7/2020,-2.10%,-1.72%
3/8/2020,-3.90%,-3.21%
3/9/2020,-0.40%,-0.32%
3/10/2020,0.10%,0.04%
3/11/2020,-0.20%,-0.21%
3/12/2020,-8.60%,-7.05%
3/13/2020,2.20%,1.79%
3/14/2020,-1.30%,-1.02%
3/15/2020,0.60%,0.51%
3/16/2020,-2.30%,-1.85%
3/17/2020,0.80%,0.67%
3/18/2020,0.00%,0.03%
3/19/2020,3.50%,2.77%
3/20/2020,-2.60%,-2.11%
3/21/2020,0.10%,0.12%
3/22/2020,-1.40%,-1.16%
3/23/2020,1.90%,1.51%
3/24/2020,2.10%,1.65%
3/25/2020,-0.40%,-0.36%
3/26/2020,1.10%,0.92%
3/27/2020,-2.90%,-2.37%
3/28/2020,-2.50%,-2.04%
3/29/2020,-2.30%,-2.26%
3/30/2020,1.60%,1.64%
3/31/2020,0.10%,0.12%
4/1/2020,-0.70%,-0.69%
4/2/2020,0.50%,0.51%
4/3/2020,-0.30%,-0.34%
4/4/2020,1.60%,1.49%
4/5/2020,-0.80%,-0.72%
4/6/2020,6.00%,4.82%
4/7/2020,-1.10%,-0.88%
4/8/2020,1.80%,1.48%
4/9/2020,-0.40%,-0.29%
4/10/2020,-4.80%,-3.85%
4/11/2020,0.00%,0.01%
4/12/2020,0.50%,0.42%
4/13/2020,-0.10%,-0.05%
4/14/2020,0.20%,0.18%
4/15/2020,-0.90%,-0.75%
4/16/2020,1.80%,1.43%
4/17/2020,0.00%,-0.03%
4/18/2020,1.20%,0.97%
4/19/2020,-1.00%,-0.80%
4/20/2020,-3.40%,-2.85%
4/21/2020,0.10%,0.07%
4/22/2020,0.80%,0.78%
4/23/2020,3.00%,2.36%
4/24/2020,1.20%,0.93%
4/25/2020,0.40%,0.30%
4/26/2020,1.00%,0.80%
4/27/2020,1.00%,0.78%
4/28/2020,0.20%,0.20%
